Year,State,CO2_annual
2004,AR,115376112
2004,AZ,211599948
2004,CA,240678340
2004,CO,164721780
2004,CT,41624184
2004,DC,225892
2004,DE,26374676
2004,FL,524476912
2004,GA,331047132
2004,HI,36810276
2004,IA,167533192
2004,ID,5234940
2004,IL,411298640
2004,IN,483069976
2004,KS,153442572
2004,KY,352837788
2004,LA,235833764
2004,MA,105139900
2004,MD,129468628
2004,ME,29558684
2004,MI,314286208
2004,MN,155816120
2004,MO,312443144
2004,MS,102364320
2004,MT,78501112
2004,NC,293214408
2004,ND,122628828
2004,NE,85348948
2004,NH,32982120
2004,NJ,85953688
2004,NM,127144344
2004,NV,100834764
2004,NY,232403856
2004,OH,498975788
2004,OK,190550464
2004,OR,37009428
2004,PA,492047108
2004,RI,8471636
2004,SC,161679888
2004,SD,15787120
2004,TN,237232256
2004,TX,1037660408
2004,US-TOTAL,9947926232
2004,UT,142088700
2004,VA,189242800
2004,VT,87180
2004,WA,60738188
2004,WI,202532188
2004,WV,331993156
2004,WY,187133384
2005,AK,17455880
2005,AL,339409984
2005,AR,107098380
2005,AZ,208013524
2005,CA,219995200
2005,CO,165589032
2005,CT,46644780
2005,DC,943720
2005,DE,27513396
2005,FL,526173480
2005,GA,361525584
2005,HI,36529532
2005,IA,163474764
2005,ID,5380252
2005,IL,409516940
2005,IN,494649660
2005,KS,153085984
2005,KY,365434508
2005,LA,230640824
2005,MA,108250100
2005,MD,134774452
2005,ME,28448504
2005,MI,319425480
2005,MN,158062760
2005,MO,324651452
2005,MS,101491104
2005,MT,79498360
2005,NC,306991936
2005,ND,132554860
2005,NE,88257760
2005,NH,32961952
2005,NJ,85168440
2005,NM,133095520
2005,NV,104794824
2005,NY,244100688
2005,OH,533666180
2005,OK,208609668
2005,OR,36213276
2005,PA,512491224
2005,RI,10464044
2005,SC,165270276
2005,SD,13419052
2005,TN,242535632
2005,TX,1045328616
2005,US-TOTAL,10175352652
2005,UT,145296064
2005,VA,192864448
2005,VT,54852
2005,WA,60459412
2005,WI,219207040
2005,WV,343055876
2005,WY,184813376
2006,AK,18506856
2006,AL,344613900
2006,AR,115725020
2006,AZ,216046976
2006,CA,238928332
2006,CO,169705752
2006,CT,44674012
2006,DC,400344
2006,DE,23796888
2006,FL,510729584
2006,GA,364080260
2006,HI,36550968
2006,IA,164981104
2006,ID,3526516
2006,IL,404297696
2006,IN,494106632
2006,KS,144935912
2006,KY,376950128
2006,LA,218601888
2006,MA,95643592
2006,MD,123344308
2006,ME,22709136
2006,MI,306870128
2006,MN,152732328
2006,MO,321686972
2006,MS,104140336
2006,MT,77615088
2006,NC,295855240
2006,ND,126214664
2006,NE,87568752
2006,NH,28518780
2006,NJ,80145128
2006,NM,134338608
2006,NV,67001672
2006,NY,205711544
2006,OH,522272784
2006,OK,211729444
2006,OR,28608860
2006,PA,509065228
2006,RI,10104452
2006,SC,165183508
2006,SD,14337004
2006,TN,248600556
2006,TX,1040855608
2006,US-TOTAL,9955671004
2006,UT,147413268
2006,VA,170092248
2006,VT,41064
2006,WA,41971488
2006,WI,195988632
2006,WV,344217200
2006,WY,183934616
2007,AK,17372136
2007,AL,353588972
2007,AR,121265580
2007,AZ,225821496
2007,CA,252559316
2007,CO,174285196
2007,CT,41853640
2007,DC,344104
2007,DE,29196264
2007,FL,515287416
2007,GA,385745592
2007,HI,36105244
2007,IA,178314808
2007,ID,5136476
2007,IL,425196064
2007,IN,493152256
2007,KS,158309656
2007,KY,373458652
2007,LA,219345204
2007,MA,103038316
2007,MD,126045400
2007,ME,22430920
2007,MI,320912108
2007,MN,153282568
2007,MO,313638988
2007,MS,112018088
2007,MT,81386276
2007,NC,317666196
2007,ND,129123512
2007,NE,83980616
2007,NH,27647588
2007,NJ,83085528
2007,NM,127819868
2007,NV,67635804
2007,NY,214997180
2007,OH,527881484
2007,OK,208275736
2007,OR,42651532
2007,PA,517187076
2007,RI,11845292
2007,SC,170282032
2007,SD,12274768
2007,TN,246400096
2007,TX,1031077960
2007,US-TOTAL,10188129944
2007,UT,155623440
2007,VA,188873400
2007,VT,40296
2007,WA,51308692
2007,WI,198365556
2007,WV,349069812
2007,WY,185925744
2008,AK,17504264
2008,AL,332537828
2008,AR,122613176
2008,AZ,235560108
2008,CA,250194272
2008,CO,166637888
2008,CT,37802976
2008,DC,279424
2008,DE,26387812
2008,FL,484209888
2008,GA,358999340
2008,HI,36191484
2008,IA,184549488
2008,ID,4066668
2008,IL,425721216
2008,IN,498641072
2008,KS,149258852
2008,KY,376113096
2008,LA,218943488
2008,MA,89052688
2008,MD,116621064
2008,ME,21254160
2008,MI,309870372
2008,MN,147285628
2008,MO,310598700
2008,MS,103681172
2008,MT,81420840
2008,NC,301375168
2008,ND,131548104
2008,NE,89838060
2008,NH,27129200
2008,NJ,80388440
2008,NM,123595164
2008,NV,72574496
2008,NY,188626804
2008,OH,516243280
2008,OK,213598940
2008,OR,43282096
2008,PA,495988424
2008,RI,11950084
2008,SC,170171056
2008,SD,16153324
2008,TN,234685672
2008,TX,1010840896
2008,US-TOTAL,9936048444
2008,UT,157522396
2008,VA,165606980
2008,VT,28392
2008,WA,54744608
2008,WI,198370720
2008,WV,338440720
2008,WY,187348456
2009,AK,16961420
2009,AL,276954704
2009,AR,121709200
2009,AZ,214094552
2009,CA,237710596
2009,CO,155954832
2009,CT,32184352
2009,DC,143008
2009,DE,16573000
2009,FL,459414788
2009,GA,308089080
2009,HI,34645512
2009,IA,171911572
2009,ID,4096732
2009,IL,395899132
2009,IN,444451964
2009,KS,144828264
2009,KY,344620460
2009,LA,212903896
2009,MA,78733300
2009,MD,102636172
2009,ME,18857076
2009,MI,294354644
2009,MN,134755736
2009,MO,298862900
2009,MS,93922412
2009,MT,70192636
2009,NC,259380192
2009,ND,130433792
2009,NE,95597884
2009,NH,22028240
2009,NJ,64342228
2009,NM,134009112
2009,NV,73178056
2009,NY,152520352
2009,OH,460263276
2009,OK,207944132
2009,OR,37624156
2009,PA,466484376
2009,RI,12724084
2009,SC,152485660
2009,SD,14042372
2009,TN,173831312
2009,TX,971457636
2009,US-TOTAL,9078030512
2009,UT,146070016
2009,VA,144642216
2009,VT,26332
2009,WA,54103200
2009,WI,176933040
2009,WV,263711044
2009,WY,178735864
2010,AK,16500208
2010,AL,317499052
2010,AR,136073268
2010,AZ,222733592
2010,CA,221623328
2010,CO,161995056
2010,CT,36805456
2010,DC,762968
2010,DE,16749216
2010,FL,495244912
2010,GA,330367652
2010,HI,33146664
2010,IA,188845280
2010,ID,4852856
2010,IL,412511336
2010,IN,465130024
2010,KS,145283728
2010,KY,372638280
2010,LA,234824344
2010,MA,81164040
2010,MD,105477544
2010,ME,19792612
2010,MI,297918976
2010,MN,131784428
2010,MO,315258664
2010,MS,107381224
2010,MT,81478116
2010,NC,292963312
2010,ND,124255596
2010,NE,97842984
2010,NH,22205944
2010,NJ,76640544
2010,NM,117514812
2010,NV,68081632
2010,NY,166335032
2010,OH,487855360
2010,OK,198142232
2010,OR,40375960
2010,PA,491318444
2010,RI,12868284
2010,SC,165456088
2010,SD,14444720
2010,TN,192784268
2010,TX,1005636752
2010,US-TOTAL,9554383660
2010,UT,142077068
2010,VA,158876324
2010,VT,32064
2010,WA,55934440
2010,WI,188953772
2010,WV,297133400
2010,WY,182811804
2011,AK,17386800
2011,AL,305653904
2011,AR,143703788
2011,AZ,214142968
2011,CA,191631476
2011,CO,158037736
2011,CT,32784092
2011,DC,700304
2011,DE,15713120
2011,FL,457764944
2011,GA,285473396
2011,HI,32400076
2011,IA,175515492
2011,ID,3299220
2011,IL,402924960
2011,IN,438432236
2011,KS,140476968
2011,KY,370774360
2011,LA,250721732
2011,MA,65617920
2011,MD,94501628
2011,ME,17404592
2011,MI,277205684
2011,MN,130472796
2011,MO,325711284
2011,MS,93303916
2011,MT,68114184
2011,NC,251189656
2011,ND,119419984
