State,Year,e_price
SC,2010,8.49
VA,2010,8.69
WV,2010,7.45
ESC,2010,8.16
AL,2010,8.89
KY,2010,6.73
MS,2010,8.59
TN,2010,8.61
WSC,2010,8.74
AR,2010,7.28
LA,2010,7.8
OK,2010,7.59
TX,2010,9.34
MTN,2010,8.59
AZ,2010,9.69
CO,2010,9.15
ID,2010,6.54
MT,2010,7.84
NV,2010,9.73
NM,2010,8.4
UT,2010,6.94
WY,2010,6.2
PCC,2010,10.92
CA,2010,13.01
OR,2010,7.56
WA,2010,6.66
PCN,2010,21.14
AK,2010,14.76
HI,2010,25.12
AT,2010,11.605
NEW,2011,14.49
CT,2011,16.35
ME,2011,12.58
MA,2011,14.11
NH,2011,14.74
RI,2011,13.04
VT,2011,13.8
MAT,2011,13.37
NJ,2011,14.3
NY,2011,15.89
PA,2011,10.45
ENC,2011,9.22
IL,2011,8.97
IN,2011,8.01
MI,2011,10.4
OH,2011,9.03
WI,2011,10.21
WNC,2011,8.26
IA,2011,7.56
KS,2011,8.89
MN,2011,8.65
MO,2011,8.32
NE,2011,7.88
ND,2011,7.5
SD,2011,8.05
SAT,2011,9.74
DE,2011,11.48
DC,2011,12.81
FL,2011,10.61
GA,2011,9.61
MD,2011,11.93
NC,2011,8.64
SC,2011,8.8
VA,2011,8.84
WV,2011,7.88
ESC,2011,8.58
AL,2011,9.1
KY,2011,7.17
MS,2011,8.78
TN,2011,9.28
WSC,2011,8.54
AR,2011,7.43
LA,2011,7.68
OK,2011,7.8
TX,2011,9.0
MTN,2011,8.63
AZ,2011,9.71
CO,2011,9.39
ID,2011,6.44
MT,2011,8.23
NV,2011,8.97
NM,2011,8.74
UT,2011,7.13
WY,2011,6.58
PCC,2011,11.01
CA,2011,13.05
OR,2011,8.04
WA,2011,6.78
PCN,2011,25.57
AK,2011,16.08
HI,2011,31.59
AT,2011,11.555
NEW,2012,14.02
CT,2012,15.54
ME,2012,11.81
MA,2012,13.79
NH,2012,14.19
RI,2012,12.74
VT,2012,14.22
MAT,2012,12.75
NJ,2012,13.68
NY,2012,15.15
PA,2012,9.91
ENC,2012,9.27
IL,2012,8.4
IN,2012,8.29
MI,2012,10.98
OH,2012,9.12
WI,2012,10.28
WNC,2012,8.54
IA,2012,7.71
KS,2012,9.33
MN,2012,8.86
MO,2012,8.53
NE,2012,8.37
ND,2012,7.83
SD,2012,8.49
SAT,2012,9.73
DE,2012,11.06
DC,2012,11.85
FL,2012,10.44
GA,2012,9.37
MD,2012,11.28
NC,2012,9.15
SC,2012,9.1
VA,2012,9.07
WV,2012,8.14
ESC,2012,8.58
AL,2012,9.18
KY,2012,7.26
MS,2012,8.6
TN,2012,9.27
WSC,2012,8.11
AR,2012,7.62
LA,2012,6.9
OK,2012,7.54
TX,2012,8.55
MTN,2012,8.82
AZ,2012,9.81
CO,2012,9.39
ID,2012,6.92
MT,2012,8.25
NV,2012,8.95
NM,2012,8.83
UT,2012,7.84
WY,2012,7.19
PCC,2012,11.38
CA,2012,13.53
OR,2012,8.21
WA,2012,6.94
PCN,2012,26.96
AK,2012,16.33
HI,2012,34.04
AT,2012,11.24
NEW,2013,14.47
CT,2013,15.66
ME,2013,11.86
MA,2013,14.51
NH,2013,14.3
