State,Year,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio,renewable_ratio
NE,1997,0.11634638800947553,0.0,0.009220925856228829,0.1071254621532467,0.3452976598994886
NE,1998,0.11737067279911749,0.0,0.009922429944726228,0.10744824285439127,0.37691809325916803
NE,1999,0.08859693890972993,0.0,0.007334410169259667,0.08126252874047027,0.3565765035803918
NE,2000,0.10451479337056796,0.0,0.006967273720012285,0.09754751965055568,0.3836721229425214
NE,2001,0.10129001699590427,0.0,0.006848513554930206,0.09444150344097406,0.3909169429662032
NE,2002,0.08959884201819686,0.0,0.006182795698924731,0.08341604631927213,0.3639991728701406
NE,2003,0.09975848728338255,0.0,0.008378545429572145,0.0913799418538104,0.4232538973971568
NE,2004,0.07472242558767435,0.0,0.006943440570397348,0.067778985017277,0.4272710739716573
NE,2005,0.07505524232305116,0.0,0.005861136158701533,0.06919410616434962,0.4698471051040934
NE,2006,0.06912046114956649,0.0,0.005736020222542465,0.06338444092702403,0.4870041815303929
NE,2007,0.05797712498466822,0.0,0.00606755182141543,0.051909573163252794,0.4981103581503741
NE,2008,0.05800251101982887,0.0,0.01063089373200322,0.04737161728782565,0.60398214992426
NE,2009,0.054281449777135615,0.0,0.010028897400597031,0.044252552376538586,0.609438681624252
NE,2010,0.03827853463162983,0.0,0.00544060390703368,0.03283793072459614,0.681095601611779
NE,2011,0.04323274280961164,0.0,0.0051173556110086435,0.038115387198602996,0.7693573469313949
NE,2012,0.053515096252414095,0.0,0.0038314067747653867,0.04968368947764871,0.7743264596442144
NE,2013,0.04725637981549454,0.0,0.0029108078376700467,0.04434557197782449,0.7574118044285668
NE,2014,0.04200307752203858,0.0,0.0010080738605289258,0.040995003661509655,0.7131508449281139
NE,2015,0.03610387431326,0.0,0.0011427716293338594,0.034961102683926146,0.7190709085261193
NE,2016,0.02968889693650057,0.0,0.0012607086676550139,0.028428188268845557,0.7489560110000792
NE,2017,0.02827559916314574,0.0,0.0010959886362089232,0.027179610526936814,0.8076664745471955
NE,2018,0.028304690438489363,0.0,0.0010656921426680844,0.02723899829582128,0.8349825635120012
NE,2019,0.024780260045725217,0.0,0.0009017785442529719,0.023878481501472246,0.8159516067455668
NE,2020,0.0237587367703762,0.0,0.0008997703785993815,0.022858966391776817,0.8211328468974718
NE,2021,0.02197718132540654,0.0,0.0007606224864486798,0.02121655883895786,0.8209258611645393
NH,1960,0.0,0.0,0.0,0.0,1.0
NH,1961,0.0,0.0,0.0,0.0,1.0
NH,1962,0.0,0.0,0.0,0.0,1.0
NH,1963,0.0,0.0,0.0,0.0,1.0
NH,1964,0.0,0.0,0.0,0.0,1.0
NH,1965,0.0,0.0,0.0,0.0,1.0
NH,1966,0.0,0.0,0.0,0.0,1.0
NH,1967,0.0,0.0,0.0,0.0,1.0
NH,1968,0.0,0.0,0.0,0.0,1.0
NH,1969,0.0,0.0,0.0,0.0,1.0
NH,1970,0.0,0.0,0.0,0.0,1.0
NH,1971,0.0,0.0,0.0,0.0,1.0
NH,1972,0.0,0.0,0.0,0.0,1.0
NH,1973,0.0,0.0,0.0,0.0,1.0
NH,1974,0.0,0.0,0.0,0.0,1.0
NH,1975,0.0,0.0,0.0,0.0,1.0
