State,Year,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio
UT,1991,0.9850981053271424,0.6030791550369282,0.2135427734952375,0.16847617679497667
UT,1992,0.9852883847411859,0.5859413627201157,0.24272738941923705,0.15661963260183318
UT,1993,0.9840478160557227,0.5547277566906141,0.2907992837660945,0.13852077559901407
UT,1994,0.9863556907777394,0.5601933602569968,0.30774893601463243,0.1184133945061102
UT,1995,0.9844085460550341,0.5883017444450241,0.27980043420508766,0.11630636740492233
UT,1996,0.983629578184982,0.6109429973517313,0.2653382075723695,0.10734837326088117
UT,1997,0.9804493740273083,0.5906912915813765,0.28238919938361046,0.10736888306232127
UT,1998,0.9812482513078534,0.5776505846280465,0.29653299848182274,0.10706466819798416
UT,1999,0.9802158273381295,0.6027939398886077,0.285825472523116,0.09159641492640572
UT,2000,0.9851681615645014,0.6077828399336057,0.2900705150176576,0.08731480661323802
UT,2001,0.9897574072934079,0.6066891754310365,0.29928827476477077,0.0837799570976006
UT,2002,0.9888151042871492,0.6034291847743949,0.3032680786839267,0.0821178408288276
UT,2003,0.9887593877369756,0.5879089127714892,0.31755414979368635,0.0832963251718001
UT,2004,0.9880306980584665,0.5544042212658142,0.33690044621901494,0.09672603057363745
UT,2005,0.9861989369286955,0.562083992977766,0.3260399731848833,0.09807497076604622
UT,2006,0.9878052723122781,0.5480524183007743,0.3437089818113632,0.09604387220014059
UT,2007,0.989792198323004,0.5148647873405494,0.3700892534943585,0.10483815748809615
UT,2008,0.9880706374210758,0.48232739273363057,0.3964561594001548,0.10928708528729048
UT,2009,0.9858452472866359,0.44602823850980183,0.4217299858896196,0.11808702288721458
UT,2010,0.9835152026050419,0.41560936308143925,0.4345158721425761,0.13338996738102654
UT,2011,0.9783691142460992,0.40262419973085584,0.44055099145995175,0.13519392305529165
UT,2012,0.9811980083902467,0.3464278811047635,0.47797381269418554,0.15679631459129761
UT,2013,0.984689894849403,0.3437319550882196,0.45998039565139903,0.18097754410978434
UT,2014,0.9810270142956622,0.3507327038872732,0.4278133917721433,0.2024809186362457
UT,2015,0.9765508582960799,0.3179899953457629,0.4509711319965113,0.20758973095380573
UT,2016,0.9604273315489956,0.33613651915564446,0.4351585981688884,0.18913221422446275
UT,2017,0.9417955126937062,0.34729464327674564,0.37909858237493455,0.21540228704202602
UT,2018,0.9436899591168159,0.3416196185578776,0.3651067505364939,0.23696359002244435
UT,2019,0.9454913940030015,0.36871825552556015,0.33877058478255706,0.23800255369488435
UT,2020,0.9356461042457103,0.3751882794833953,0.3369585183402269,0.22349930642208807
UT,2021,0.9283584968523682,0.344697624433539,0.33073932397936817,0.252921548439461
VA,1960,0.9154431878421606,0.912656773703626,0.002771857338507467,1.4556800027172693e-05
VA,1961,0.9251351296546223,0.9222714399334885,0.0028501711229223605,1.3518598211489457e-05
VA,1962,0.9217473247269805,0.9187630439432743,0.0029646245367774163,1.965624692871142e-05
VA,1963,0.9277975256935114,0.9253753477106149,0.0024030791769088693,1.9098805987588024e-05
VA,1964,0.9309446721066654,0.9291134786051215,0.0017931794015711771,3.801409997273846e-05
VA,1965,0.9357788784991856,0.9324817758395363,0.003273819466166989,2.3283193482325526e-05
VA,1966,0.9378185277586324,0.933581198489511,0.004231504761534952,5.824507586421131e-06
VA,1967,0.9416352522131837,0.9379184263484596,0.00370076433963512,1.6061525089046985e-05
VA,1968,0.9401093099108527,0.9368326384238966,0.0032607288952909335,1.5942591665213077e-05
VA,1969,0.937802702755104,0.9349661670899819,0.0028307191189871454,5.816546134905094e-06
VA,1970,0.9388695283446491,0.9360582148549259,0.002805464709924892,5.848779798314577e-06
VA,1971,0.9268539735759924,0.9238857641678818,0.0029615962419581145,6.613166152492998e-06
VA,1972,0.925334446171414,0.9225004757977542,0.0028339703736598365,0.0
VA,1973,0.8583275688515283,0.8531823383493344,0.005145230502193783,0.0
VA,1974,0.867723827338187,0.8604683660289899,0.007238492972114035,1.6968337083003116e-05
VA,1975,0.8436325601636523,0.8371491495951644,0.006467362522526264,1.6048045961603633e-05
VA,1976,0.8641313489473649,0.8581717992020292,0.0059452522085489175,1.429753678672112e-05
VA,1977,0.8446098506397368,0.8371709887034596,0.007428261491765222,1.0600444511973201e-05
VA,1978,0.7713630144795348,0.7631151902101623,0.008236423060844449,1.1401208528103979e-05
VA,1979,0.8494052462353282,0.8417414579415677,0.007643643478816851,2.0144814943598897e-05
VA,1980,0.8356902215077064,0.8294538088139739,0.006191170425285124,4.524226844733995e-05
VA,1981,0.8014910571118488,0.7948756516807678,0.006561428559091,5.397687198988977e-05
VA,1982,0.7866480026163443,0.7811724529940827,0.005263977364748337,0.0002115722575132363
VA,1983,0.758078013554229,0.7541579495795604,0.0036155380899684166,0.00030452588470019954
VA,1984,0.7909781165278186,0.7841444349844976,0.006698562507809299,0.00013511903551160717
VA,1985,0.7682454131911861,0.7573896675371995,0.010751859628652178,0.00010388602533443044
VA,1986,0.7846174283606769,0.7733271339726133,0.011217580081873513,7.27143061901549e-05
VA,1987,0.8151648521349703,0.8016752105763194,0.013423170277265814,6.647128138501978e-05
VA,1988,0.8073404286592544,0.7949911361681405,0.012256628062878886,9.266442823491519e-05
VA,1989,0.8258732403284017,0.812645012417073,0.013134660166170688,9.356774515804507e-05
VA,1990,0.7835045168052572,0.774109998598829,0.009338107424326149,5.6410782102132634e-05
VA,1991,0.7625485128488819,0.7521714008735471,0.01032724439039537,4.986758493945743e-05
VA,1992,0.769761128185082,0.7530289974682328,0.01668667708637034,4.5453630478866983e-05
VA,1993,0.7523070944843766,0.7248948707452176,0.027363737177902043,4.848656125688249e-05
VA,1994,0.7280383418346806,0.6914658609933448,0.036527669347187555,4.481149414824903e-05
VA,1995,0.711864919436643,0.6739258895314482,0.03789181544753773,4.721445765711533e-05
VA,1996,0.7086526514025036,0.6687535805183071,0.03984609157508899,5.2979309107425795e-05
